Name;Description;Requirements;Cooldown;Slots;Range;Sets;Stat;School Image;School;Ap;Sp;Image
Vacuum Touch;Deal 80% Air Damage. Set Suffocation and Silence on target;"Requires Aerotheurge 1
Requires Necromancer 1";5;1 Memory;Range 2m;"Sets Suffocating for 2 turn(s).
Sets Silenced for 1 turn(s).";Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-16-15.png
Breathing Bubble;Creates a bubble of clean air around your head, allowing you to ignore effects of cloud surfaces. Immune to Suffocation and Silence.;"Requires Aerotheurge 1
Requires Warfare 1";5;1 Memory;Range --;Sets Breathing Bubble for 5 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-16-13.png
Mass Breathing Bubbles;Set Breathing Bubbles on allies around you, allowing them to ignore effects of cloud surfaces and making them immune to Suffocation and Silence.;"Requires Aerotheurge 2
Requires Warfare 2";5;2 Memory;Range 13;Sets Mass Breathing Bubbles for 5 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-16-14.png
Evasive Aura;Sets Evasive Aura for you and allies around you.;"Requires Aerotheurge 2
Requires Huntsman 2";5;2 Memory;Range 8m;Sets Evasive Aura for 1 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;2;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-17-0.png
Uncanny Evasion;Target character's dodging is increased by 90% and your Movement Speed is increased by 20%.;Requires Aerotheurge 2;4;1 Memory;Range 13m;Sets Evading for 1 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-17-1.png
Blessed Smoke Cloud;Conjure a cloud of thick blessed smoke that makes characters invisible.;"Requires Aerotheurge 2
Requires Scoundrel 2";5;2 Memory;Range 13m. Area of Effect: 4m radius.;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;1;2;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-17-2.png
Smoke Cover;Create a smoke cloud around you, hiding from sight.;"Requires Aerotheurge 1
Requires Scoundrel 1";5;1 Memory;Radius 3m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-17-3.png
Thunderstorm;A storm rages in the target area, hitting enemies with lightning bolts, each dealing 100% Air Damage.;Require Aerotheurge 5;5;3 Memory;"Range 17m
Duration 2 turns";Sets Stunned for 1 turn;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;4;3;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-18-5.png
Apportation;Transport pickupable items in the target area into your inventory.;Requires Aerotheurge 2;3;1 Memory;Range  8m. Radius 4m.;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/2.png
Superconductor;Shoot forking spikes at all enemies within the area, dealing 100% Air Damage and setting Shocked.;Requires Aerotheurge 3;3;1 Memory;Range 8m;Sets Shocked for 1 turn(s).;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/1.png
Pressure Spike;Condense all cloud surfaces in the area. Deals 70% Air Damage to enemies and douses fire.;Requires Aerotheurge 2;3;1 Memory;Range 13m;;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/3.png
Erratic Wisp;Cause target character to teleport in a random direction each time they are attacked. Increases Air Resistance by 40%;"Requires Aerotheurge 1
Requires Huntsman 1";5;1 Memory;Range 13m;Sets Erratic Wisp for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge_erratic_wisp-icon.png
Tornado;A tornado moves randomly around the battlefield, removing surfaces and revealing invisible characters. Also clears Invisible, Burning and Slowed.;Requires Aerotheurge 3;5;1 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin/Skill_Air_Tornado.jpg
Vaporise;Remove Petrified and Frozen from target character. Vaporise ground surfaces into clouds. Does not work on Oil, Ice or Lava surfaces;"Requires Aerotheurge 1
Requires Polymorph 1";4;1 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge_vaporise-icon.png
Contamination;Deals 55% Poison Damage to enemies and undead allies around you and can poison them. Turns water, blood surfaces and clouds in to poison!;Requires Geomancer 1;3;1 Memory;Range 8m;Set Poisoned for 2 turn(s).;Damage is based on your level and receives bonus from your Intelligence .;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer_contamination-icon.png
Fortify;Provides [100% of total heal value] Physical Armour. While Fortified, the target cannot be teleported. Removes Poisoned, Bleeding, Burning, Acid, Decaying.;Requires Geomancer 1;4;1 Memory to equip;Range 13m;Set Fortified for 3 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer_fortify-icon.png
Fossil Strike;A giant rock with sticky oil that deals 85% Earth Damage. Creates an oil surface where it lands.;Requires Geomancer 1;3;1 Memory;"Range 13m
2m Explode radius";;Damage is bases on your level and receives bonus from your Intelligence .;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer_fossil_strike-icon.png
Poison Dart;Cast a magical poisonous dart that does 100% Poison Damage, and creates a puddle of poison.;Requires Geomancer 1;4;1 Memory;"Range 13m
1m Explode radius";Set Poisoned for 3 turn(s).;Damage is bases on your level and receives bonus from your Intelligence .;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer_magic_poison_dart-icon.png
Impalement;Spikes impale all characters and items, setting Crippled and dealing 100% Earth Damage. Also creates an oil puddle.;Requires Geomancer 2;4;1 Memory;Range 13m;Set Crippled for 1 turn(s).;Damage is based on your level and receives bonus from your Intelligence .;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer_impalement-icon.png
Acid Spores;Shoot spores of corrosive acid, dealing 90% Poison Damage.;Requires Geomancer 3;5;2 Memory;"Range 13m
2m Explode radius";Set Poisoned for 3 turn(s).;Damage is based on your level and receives bonus from your Intelligence .;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;3;2;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer_acid_spores-icon.png
Turn to Oil;Turn water and blood surfaces into oil. Remove Stun and Shocked from characters.;"Requires Geomancer 1
Requires Polymorph 1";4;1 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer_oil_spring-icon.png
Pyroclastic Eruption;Multiple oil-filled rocks erupt from the caster at all enemies in the area. On impact, they create oil surfaces and deal 300% Earth Damage.;Requires Geomancer 5;5;3 Memory;"Range 13m
3m Explode radius";;Damage is based on your level and receives bonus from your Intelligence .;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;3;3;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer_pyroclastic_eruption-icon.png
Siphon Poison;Remove poison surfaces and clouds. Gain poison damage bonus to weapon attacks and weapon-based skills (dependent upon size of poison area cleared);Requires Geomancer 3;5;1 Memory;Range 8m;Set Siphon Poison for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer_siphon_poison-icon.png
Mend Metal;"Allies near you start slowly regenerating Physical Armour.
Restore [26.5% of total heal value] Physical Armour for 3 turn(s).";Requires Geomancer 2;3;1 Memory;Range 5m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer_mend_metal-icon.png
Earthquake;Deals 100% Earth Damage and Knockdown enemy characters and items around you. Creates 8 random oil surfaces within the area;Requires Geomancer 2;5;1 Memory;Range 13m;Set Knocked Down for 1 turn(s).;Damage is based on your level and receives bonus from your Intelligence .;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-1-22.png
Summon Hungry Flower;Plant can lob acidic spores and emit cursed poison clouds.;Requires Geomancer 3;6;2 Memory;"Range 13m
Duration 5 Turns";;The stats of the summons will depend on caster level and Summoning ability.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;2;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-10-31.png
Poison Wave;Poison erupts from the caster in a circular wave, dealing 100% Poison Damage and forming poison clouds. Gives immunity to poison and earth damage for 1 turn;Requires Geomancer 2;4;1 Memory;Range 13m;Set Earth Immunity for 1 turn(s).;Damage is based on your level and receives bonus from your Intelligence .;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-14-15.png
Living Wall;Vines sprout from the ground to block the path in the target area, emitting poison clouds around them.;Requires Geomancer 3;5;1 Memory;"Range 13m
Duration 2 Turns";;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-14-28.png
Reactive Armour;Deal 20% physical damage, based on your current Physical Armour  , in a wave of metal spikes to everyone in the area (including yourself).;Requires Geomancer 2;;1 Memory;Range 3m;;Damage is based on your current Physical Armour.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-14-29.png
Worm Tremor;Deals 50% Earth Damage to each character in the area. Poisonous worms slither up from the earth, attaching to every character in the area. Affected characters cannot move or teleport, and they receive 30% Poison Damage each turn.;Requires Geomancer 2;5;1 Memory;"Range 13m
4m Explode radius";Set Entangled for 2 turn(s).;Damage is based on your level and receives bonus from your Intelligence .;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-14-30.png
Corrosive Touch;Destroy [110% of total damage value] Physical Armour on target character, and set Acid status.;"Requires Geomancer 1
 Requires Necromancer 1";5;1 Memory;Range 2m;Set Acid for 2 turn(s).;Damage is based on your level and receives bonus from your Intelligence .;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-16-26.png
Corrosive Spray;Destroy [100% of total damage value] Physical Armour   on targets in a cone, and set Acid and Atrophy.;"Requires Geomancer 2
Requires Necromancer 2";3;2 Memory;Range 7m;"Set Acid for 2 turn(s).
Set Atrophy for 1 turn(s).";Damage is based on your level and receives bonus from your Intelligence .;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;2;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-16-27.png
Throw Dust;Throw dust at a character, blinding them and dealing 75% Earth Damage. Clears surfaces and clouds in the area.;"Requires Geomancer 1
Requires Huntsman 1";3;1 Memory;"Range 13m
2m Explode radius";Set Blinded for 1 turn(s).;Damage is based on your level and receives bonus from your Intelligence .;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-16-29.png
Dust Blast;Throw dust at all enemies in range, blinding them and dealing 100% Earth Damage.;"Requires Geomancer 2
Requires Huntsman  2";3;2 Memory;"Range 13m
2m Explode radius";Set Blinded for 2 turn(s).;Damage is based on your level and receives bonus from your Intelligence .;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;3;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-17-10.png
Venom Coating;Coat your weapon with poison, adding 60% Poison Damage to your weapon skills and attacks.;"Requires Geomancer 1
Requires Scoundrel 1";5;1 Memory;Range --;Set Venom Coating for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-17-11.png
Venomous Aura;Allies in range receive Venom Coating, which adds 60% Poison Damage to weapon skills and attacks.;"Requires Geomancer 2
Requires Scoundrel 2";5;2 Memory;Range 13m;Set Venomous Aura for 4 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;2;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-17-12.png
Oily Carapace;Consume oil surfaces around you and convert them to Physical Armour. Removes Slowed.;"Requires Geomancer 1
Requires Warfare 1";3;1 Memory;Radius 2m;;Restore up to [400% of total heal value] Physical Armour, depending on relevant surface area.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-17-13.png
Mass Oily Carapace;Each ally consumes oil surfaces around them, converting the oil surfaces to Physical Armour . Removed Slowed.;"Requires Geomancer 2
Requires Warfare 2";5;2 Memory;Range 13m;;Restore up to [400% of total heal value] Physical Armour, depending on relevant surface area.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-skills-s.png;Geomancer;2;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-17-13.png
First Aid;Heals target for [100% of total heal value] Vitality. Cures Crippled, Knocked Down, Blind, Silenced, Suffocating, Bleeding, Burning, Poisoned, Diseased, Plague, Infested;Requires Huntsman 1;4;1 Memory;Range 8m;Set Rested for 1 turn(s).;Restore [100% of total heal value] Vitality.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman_first_aid-icon.png
Glitter Dust;Target is marked, reducing its ability to dodge. Prevents target from going invisible.;Requires Huntsman 3;3;1 Memory;Range 13m;Set Marked for 3 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman_mark-icon.png
Marksman's Fang;Shoot an arrow that goes straight through enemies. Each enemy that's hit takes 100% damage, ignoring armour.;Requires Huntsman 2;2;1 Memory;Range 13m;;Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman_piercing_shot-icon.png
Ricochet;Fire a normal arrow that deals 90% damage and then finds another target within 5m. Forks up to 2 times.;Requires Huntsman 1;4;1 Memory;Range 13m;;Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman_ricochet-icon.png
Assassinate;Attacking your target with meticulous aim, dealing 140% damage in one shot. When performed from stealth, this attack gains a 50% damage increase.;Requires Huntsman 3;5;1 Memory;Range 13m;;Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman_snipe-icon.png
Arrow Spray;Fire 16 arrows in a 60 degree arc. Each arrow deals 40% damage.;Requires Huntsman 3;5;2 Memory;Range 13m;;Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;3;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman_arrow_spray-icon.png
Tactical Retreat;Apply haste to yourself, then teleport away from imminent danger.;Requires Huntsman 2;4;1 Memory;Range 13m;Set Hasted for 1 Turn(s);;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman_tactical_retreat-icon.png
Pin Down;Deals 120% damage and Cripple target character.;Requires Huntsman 1;3;1 Memory;Range 13m;Set Crippled for 1 turn(s).;Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman_pin_down-icon.png
Arrow Storm;16 arrows fall from the sky in the target area, each dealing 40% Physical Damage.;"Requires Huntsman 5
2m Explode radius";4;3 Memory;Range 13m;;Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;3;3;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman-18-4.png
Barrage;Fire three arrows at three targets of your choice, each dealing 60% damage.;Requires Huntsman 2;3;1 Memory;Range 13m;;Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman_barrage-icon.png
Reactive Shot;Target a circular area. Until your next turn, you will reflexively shoot at the first three enemies moving within this area.;Requires Huntsman 2;2;1 Memory;Range 13m;Set Reactive Shot for 1 Turn(s);;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman-15-0.png
Sky Shot;Leap into the air before shooting, gaining damage bonuses for your superior height. Deals 100% Damage;Requires Huntsman 1;2;1 Memory;Range 20m;;"This skill receives high ground bonuses regardless of elevation.
Damage is based on your basic attack and receives a bonus from Finesse.";https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman-15-1.png
Ballistic Shot;A shot that deals 100% damage and receives 5% bonus damage per 1m distance to target;Requires Huntsman 2;4;1 Memory;Range 13m;;Damage is based on your basic attack and receives a bonus from Finesse.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman-15-2.png
Elemental Arrowheads;Target a surface in melee radius. For two turns, 60% elemental damage matching that surface is added to your ranged weapon attacks and ranged weapon-based skills.;Requires Huntsman 1;4;1 Memory;Range 3m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman-15-4.png
